aX,aY,aZ,gX,gY,gZ
-0.199,0.596,-1.900,113.953,57.129,67.749
-0.106,0.477,-1.857,78.918,43.640,57.617
-0.014,0.268,-1.576,42.725,29.907,41.687
0.058,0.006,-1.156,17.517,15.686,25.269
0.156,-0.264,-0.796,10.620,2.808,10.437
0.281,-0.498,-0.585,18.494,-7.935,-1.770
0.319,-0.642,-0.541,33.386,-12.756,-5.920
0.356,-0.667,-0.572,44.189,-9.399,-5.066
0.364,-0.592,-0.648,48.584,-3.235,1.465
0.380,-0.458,-0.752,50.110,3.662,12.329
0.394,-0.292,-0.909,50.598,10.254,22.278
0.391,-0.169,-1.066,48.706,14.526,25.818
0.362,-0.096,-1.155,42.908,14.587,21.729
0.292,-0.059,-1.169,35.522,10.742,13.123
0.231,-0.088,-1.157,29.114,6.104,4.700
0.199,-0.169,-1.102,22.583,3.357,-0.732
0.179,-0.240,-1.038,16.235,2.991,-2.930
0.201,-0.332,-0.994,11.963,1.770,-2.686
0.197,-0.372,-0.944,8.484,1.831,-2.625
0.189,-0.386,-0.919,7.202,1.709,-2.930
0.195,-0.397,-0.930,9.033,1.465,-1.099
0.190,-0.360,-0.945,8.484,2.319,0.854
0.203,-0.324,-0.972,6.226,1.770,2.258
0.221,-0.286,-0.988,4.028,1.404,4.150
0.248,-0.267,-0.988,1.648,1.587,4.761
0.280,-0.288,-0.959,-0.122,-0.122,3.479
0.281,-0.299,-0.940,-0.061,-1.587,1.282
0.281,-0.325,-0.956,1.343,-2.136,-1.709
0.280,-0.352,-0.953,1.831,-2.563,-3.967
0.253,-0.336,-0.940,1.099,-2.625,-5.432
0.230,-0.322,-0.955,1.282,-2.441,-6.226
0.205,-0.298,-0.985,1.160,-2.014,-6.042
0.189,-0.298,-0.995,-0.366,-1.770,-4.639
0.178,-0.281,-1.004,-3.113,-1.648,-2.380
0.203,-0.307,-0.994,-6.226,-1.709,0.671
0.244,-0.345,-0.951,-8.667,-1.709,2.441
0.265,-0.367,-0.918,-9.399,-2.136,2.014
0.274,-0.368,-0.910,-7.812,-3.357,-0.122
0.264,-0.360,-0.917,-5.737,-4.395,-2.197
0.253,-0.336,-0.941,-4.822,-4.700,-2.869
0.246,-0.298,-0.979,-5.249,-4.150,-1.892
0.245,-0.250,-1.015,-7.996,-3.357,0.000
0.258,-0.238,-1.024,-11.902,-2.808,1.099
0.266,-0.241,-1.003,-16.174,-2.563,0.732
0.262,-0.261,-0.983,-19.348,-2.258,-1.160
0.254,-0.282,-0.975,-21.118,-2.747,-3.296
0.238,-0.303,-0.966,-22.217,-4.211,-5.371
0.220,-0.322,-0.953,-23.254,-5.066,-7.446
0.211,-0.328,-0.954,-24.780,-4.883,-7.874
0.197,-0.314,-0.966,-26.672,-4.517,-7.080
0.188,-0.294,-0.988,-27.954,-4.883,-5.981
0.185,-0.266,-1.028,-29.846,-5.554,-5.005
0.175,-0.235,-1.057,-33.325,-6.287,-4.944
0.159,-0.209,-1.080,-37.048,-7.935,-6.226
0.151,-0.202,-1.085,-40.771,-10.498,-8.850
0.134,-0.216,-1.068,-44.067,-13.916,-12.268
0.130,-0.246,-1.039,-46.936,-17.517,-15.076
0.140,-0.300,-1.003,-49.927,-20.142,-16.479
0.155,-0.356,-0.977,-53.467,-21.057,-16.357
0.194,-0.414,-0.941,-58.289,-20.630,-14.282
0.228,-0.451,-0.888,-63.599,-18.799,-11.353
0.258,-0.472,-0.841,-66.711,-17.456,-9.216
0.279,-0.488,-0.805,-65.979,-16.602,-8.972
0.289,-0.497,-0.794,-62.927,-16.907,-10.742
0.278,-0.497,-0.803,-58.533,-18.066,-12.512
0.251,-0.488,-0.825,-54.810,-19.165,-13.916
0.235,-0.477,-0.857,-52.124,-19.409,-13.550
0.240,-0.472,-0.901,-51.941,-19.043,-11.902
0.288,-0.514,-0.908,-54.504,-17.944,-10.742
0.304,-0.546,-0.850,-58.594,-16.907,-12.024
0.305,-0.566,-0.787,-59.937,-18.066,-14.099
0.292,-0.575,-0.741,-57.434,-19.836,-16.724
0.279,-0.582,-0.722,-52.185,-20.691,-19.043
0.262,-0.581,-0.741,-46.204,-21.240,-19.775
0.235,-0.568,-0.774,-41.626,-22.217,-18.982
0.219,-0.547,-0.821,-39.978,-22.583,-16.113
0.218,-0.534,-0.865,-42.358,-20.264,-12.695
0.216,-0.518,-0.882,-48.279,-16.968,-8.484
0.230,-0.506,-0.885,-54.871,-15.503,-5.005
0.247,-0.511,-0.873,-60.730,-14.954,-4.211
0.254,-0.520,-0.833,-65.247,-15.747,-5.615
0.256,-0.545,-0.791,-67.566,-18.677,-9.399
