aX,aY,aZ,gX,gY,gZ
0.977,-0.884,-0.645,-88.074,30.457,81.848
0.957,-0.873,-0.598,-90.210,22.278,89.722
0.940,-0.829,-0.524,-91.248,16.846,101.135
0.919,-0.777,-0.457,-86.670,16.724,112.671
0.897,-0.739,-0.432,-77.271,20.203,125.366
0.922,-0.704,-0.462,-69.763,21.912,139.160
0.942,-0.662,-0.479,-66.223,16.541,149.414
0.918,-0.602,-0.513,-63.843,7.385,155.334
0.912,-0.562,-0.489,-65.735,-0.732,158.569
0.846,-0.505,-0.484,-70.190,-7.568,161.133
0.766,-0.447,-0.453,-74.646,-11.719,166.077
0.700,-0.399,-0.433,-79.712,-11.292,172.241
0.633,-0.338,-0.418,-86.365,-5.737,180.786
0.574,-0.274,-0.407,-92.834,2.136,190.491
0.522,-0.200,-0.404,-96.558,9.277,200.806
0.474,-0.102,-0.411,-98.999,10.925,210.632
0.440,-0.003,-0.414,-102.112,5.249,218.140
0.371,0.087,-0.435,-106.201,-8.301,219.360
0.258,0.154,-0.464,-109.558,-24.658,216.125
0.134,0.209,-0.501,-114.258,-37.170,211.487
0.004,0.277,-0.539,-122.070,-43.091,207.520
-0.113,0.371,-0.577,-133.728,-45.105,203.308
-0.225,0.482,-0.594,-147.217,-46.021,198.181
-0.332,0.634,-0.585,-162.781,-45.227,191.833
-0.424,0.780,-0.570,-178.650,-42.786,184.509
-0.486,0.902,-0.579,-191.101,-39.429,174.988
-0.550,1.077,-0.611,-199.463,-32.959,163.635
-0.598,1.308,-0.661,-208.435,-24.963,152.466
-0.545,1.514,-0.703,-214.600,-14.160,148.132
-0.423,1.808,-0.757,-218.933,-0.122,156.189
-0.201,2.187,-0.768,-226.318,6.775,174.866
0.207,2.581,-0.603,-232.849,-4.089,189.453
0.871,2.864,-0.240,-232.727,-28.198,191.162
1.481,2.622,0.295,-218.872,-52.734,160.706
1.495,2.083,0.665,-179.443,-65.430,78.064
0.983,1.485,0.709,-116.150,-51.025,-18.555
0.379,0.965,0.418,-40.710,-16.296,-84.351
0.001,0.531,-0.068,24.536,16.296,-91.431
-0.087,0.255,-0.596,66.833,35.156,-54.749
-0.039,0.206,-1.022,79.468,36.377,-4.700
0.177,0.315,-1.274,64.514,24.231,35.950
0.428,0.521,-1.338,32.288,6.592,54.993
0.584,0.770,-1.247,-1.404,-5.127,53.162
0.722,0.939,-1.046,-25.940,-16.724,35.217
0.766,1.026,-0.843,-34.180,-25.391,18.372
